PID,name,Wpadka
04328,Wiesław Krzemieński,99.73
04327,Józefa Krzemieńska,99.73
20797,Jakub Piłat,99.46
18644,Szymon Graś,99.46
01891,Gerard Szweda,99.19
15678,Janusz Struzik,99.19
06331,Roman Kiełkiewicz,99.05
06322,Kazimierz Falkowski,98.92
03884,Wiesław Paczkowski,98.65
03992,Roman Wachowiak,98.65
21658,Andrzej Nasierowski,98.38
21677,Tomasz Perduta,98.38
20771,Gerard Wenta,98.24
17294,Marek Bałabuch,97.97
18482,Piotr Zalcman,97.97
11800,Mariusz Krakowiak,97.7
13003,Mariusz Bielski,97.7
01264,Zbigniew Ciereszko,97.43
02390,Zygmunt Radek,97.43
04618,Wiesława Kasperek,97.16
16130,Jerzy Kajzer,97.16
04279,Jan Janiak,96.89
08316,Krzysztof Nagielski,96.89
01001,Andrzej Ankiersztejn,96.76
03834,Krzysztof Majkowski,96.49
10455,Mirosław Andrzejczak,96.49
05403,Piotr Solecki,96.35
04347,Henryk Łakomski,96.08
03636,Mieczysław Lebiecki,96.08
02115,Czesław Rekret,95.95
07109,Jerzy Ronke,95.68
05670,Andrzej Kozikowski,95.68
13065,Anna Jankowska,95.54
04179,Paweł Abramski,95.27
04237,Zdzisław Falkowski,95.27
01718,Bogumił Wegner,95.14
08052,Bohdan Pliszka,94.86
13384,Rajmund Fons,94.86
20167,Magdalena Judek,94.73
03529,Jacek Szczerbowski,94.59
12629,Tomasz Magryś,94.32
20033,Dominik Magryś,94.32
01632,Aleksander Skorupa,94.05
01707,Stanisław Wachel,94.05
16439,Jerzy Plichtowicz,93.92
15084,Mirosław Stelmaszyk,93.65
15082,Krzysztof Lubkowski,93.65
10898,Zbigniew Ehlert,93.38
11789,Robert Kamiński,93.38
15267,Lucjan Buława,93.24
08165,Marek Czerniawski,93.11
04017,Iwona Puczyłowska,92.84
04030,Marek Nasiłowski,92.84
03733,Piotr Iwanus,92.7
05348,Włodzimierz Reszelski,92.57
04949,Michał Dembiński,92.43
11000,Jerzy Pala,92.16
07501,Jan Styczyński,92.16
16817,Kazimierz Buchalski,92.03
15645,Marcin Bonawenturczak,91.89
04427,Edmund Reczuga,91.62
09037,Mirosław Roesler,91.62
06116,Radosław Szymczak,91.35
06137,Marcin Wiliński,91.35
18681,Paweł Fiebig,91.22
10136,Robert Kicior,90.95
04100,Mieczysław Kudźma,90.95
18880,Roman Chmielecki,90.81
12439,Arkadiusz Gotwald,90.68
03853,Jerzy Misiórski,90.41
03750,Julian Jurski,90.41
05215,Zbigniew Marciniak,90.14
05167,Wojciech Kus,90.14
10465,Mieczysław Korzeniowski,89.86
20201,Piotr Mizak,89.86
14411,Marcin Mazerant,89.59
05603,Kazimierz Dróżdż,89.59
21541,Dariusz Wojtasiak,89.46
05118,Cezary Kmiecik,89.32
15865,Krystyna Wąchała,89.05
15866,Roman Wąchała,89.05
03920,Grzegorz Rojewski,88.78
12229,Robert Rychlicki,88.78
09588,Tadeusz Czajka,88.65
21971,Ewa Powała,88.38
21972,Sławomir Powała,88.38
05517,Krzysztof Wośkowiak,88.24
11624,Jan Jaworski,88.11
02103,Zdzisław Pleskot,87.97
16853,Zbigniew Mossakowski,87.7
15722,Karol Nowak,87.7
21053,Szymon Jędrzejewski,87.43
19911,Antoni Byliński,87.43
14973,Piotr Duszak,87.16
14971,Bartosz Ćwiek,87.16
11198,Krzysztof Lipowski,86.89
06121,Bogdan Trun,86.89
13762,Stanisław Baraszkiewicz,86.76
05988,Stanisław Kulesza,86.62
18826,Wiesław Sirman,86.35
18859,Sławomir Jamka,86.35
01402,Lech Kostecki,86.08
01456,Andrzej Litwiński,86.08
03030,Zbigniew Listewnik,85.81
09288,Zbigniew Bando,85.81
03820,Jarosław Łakomy,85.54
03714,Andrzej Grela,85.54
20038,Robert Kempka,85.27
21181,Piotr Łagoda,85.27
05446,Marek Szukała,85.0
05548,Janusz Zwierzyński,85.0
05696,Igor Łobodziński,84.73
05880,Marcin Zbroja,84.73
17411,Lech Jaworski,84.59
05017,Józef Grewling,84.46
20641,Maximilian Szemik,84.32
10457,Zdzisław Majer,84.19
15044,Piotr Surdyk,84.05
11293,Radzisław Oczkowicz,83.78
04876,Romuald Bartoszko,83.78
04956,Marek Domagała,83.65
05298,Michał Pabich,83.51
02049,Kazimierz Kuczyński,83.38
05242,Ewa Knapik,83.24
05038,Jerzy Gurzęda,83.11
03497,Jerzy Skwark,82.97
05357,Jerzy Roszak,82.7
05045,Przemysław Hauser,82.7
19106,Piotr Piątkiewicz,82.43
19475,Mariola Miklaszewska,82.43
05229,Adam Meller,82.3
14401,Mirosław Makuch,82.03
04469,Tomasz Stopierzyński,82.03
03387,Tadeusz Nędzi,81.89
18319,Rafał Przybysz,81.76
04261,Lech Grabski,81.62
01149,Jerzy Puchała,81.49
16717,Aleksander Swatler,81.35
01067,Leszek Jarosz,81.22
17301,Arkadiusz Jaranowski,81.08
09245,Tomasz Sinkiewicz,80.95
10352,Krzysztof Staśkiewicz,80.68
12093,Jarosław Marczewski,80.68
11594,Waldemar Wieremiejczyk,80.54
09736,Adam Motyka,80.27
09228,Karol Kałuziński,80.27
04365,Krzysztof Michalczyk,80.0
04519,Mirosław Zomkowski,80.0
13730,Grzegorz Cieślicki,79.73
01928,Halina Baran,79.73
01829,Andrzej Michalczyk,79.46
01821,Wiesława Nawojczyk,79.46
19346,Andrzej Dachtera,79.19
19403,Andrzej Grześko,79.19
21404,Marek Kwaśniak,79.05
20209,Marcin Dziuba,78.92
02071,Marek Marciniak,78.65
19598,Przemysław Wojtczak,78.65
20259,Jan Kot,78.51
09764,Bogusz Nalazek,78.38
13841,Marek Parol,78.11
04848,Maria Tomczewska,78.11
01508,Jarosław Molenda,77.84
01727,Artur Winkler,77.84
06041,Edward Niewierowski,77.7
01711,Lech Warężak,77.43
01381,Piotr Klubiński,77.43
12278,Michał Dolny,77.3
05216,Paweł Marek,77.16
06357,Jolanta Wiśniewska,76.89
10020,Jerzy Słomski,76.89
12694,Tadeusz Mediuch,76.76
01412,Wiesław Kozieł,76.49
16756,Marian Gołąbek,76.49
21562,Włodzimierz Misiaszek,76.35
05356,Leszek Rosochowicz,76.08
05350,Wojciech Robiński,76.08
20168,Bogusław Jarosz,75.95
08543,Marek Jaroszkiewicz,75.68
18076,Wiesław Olszewski,75.68
21888,Tomasz Niedzielski,75.41
21889,Małgorzata Niedzielska,75.41
01968,Sławomir Drewalski,75.14
02126,Sebastian Simonienko,75.14
18354,Małgorzata Buduła,75.0
18843,Wojciech Słysz,74.73
18821,Marek Melsztyński,74.73
09587,Zbigniew Wiśniewski,74.59
05454,Bogdan Świątek,74.32
04906,Jan Borychowski,74.32
12277,Łukasz Szczełkun,74.05
08359,Dariusz Piątek,74.05
06313,Adam Amrozy,73.78
14090,Grzegorz Zgorzelski,73.78
05967,Sabina Kaźmierska,73.51
05968,Aleksander Kaźmierski,73.51
20009,Roman Puzoń,73.24
21679,Józef Chowaniec,73.24
05102,Leszek Karwasiński,72.97
10443,Leszek Nowakowski,72.97
01220,Grzegorz Bajek,72.84
01633,Grzegorz Skowronek,72.57
06559,Tadeusz Cymbalista,72.57
16799,Tomasz Powęzka,72.3
11503,Mirosława Miętkiewska,72.3
04364,Piotr Mazur,72.03
04416,Bernard Pszczoła,72.03
18491,Tadeusz Dziadykiewicz,71.89
01128,Roman Opaliński,71.62
11319,Przemysław Zawada,71.62
01071,Jan Kadula,71.35
01006,Zdzisław Baryła,71.35
21367,Jakub Bereza,71.22
03855,Andrzej Mitka,70.95
14465,Igor Smyk,70.95
19404,Maria Kowal,70.68
05186,Łukasz Lis,70.68
20195,Wiesław Zwierzyński,70.41
20194,Dorota Zwierzyńska,70.41
06355,Lech Warwocki,70.14
06346,Adam Pawłowski,70.14
18260,Tomasz Wolfke,69.86
18862,Dariusz Płoszaj,69.86
08043,Piotr Zawiślak,69.59
08026,Andrzej Potrzyszcz,69.59
21525,Mariusz Trukawka,69.32
18878,Bogdan Lipiński,69.32
04013,Jarosław Wojnowski,69.05
18080,Sylwia Szczepańska,69.05
04808,Krzysztof Pękała,68.78
04358,Jakub Milkamanowicz,68.78
04345,Tomasz Lisica,68.65
19352,Benon Żukowski,68.51
08078,Edmund Pinkiewicz,68.38
05374,Cezary Serek,68.11
09138,Danuta Kazmucha,68.11
05523,Artur Wójcik,67.84
01781,Andrzej Aleksandrzak,67.84
12345,Andrzej Dudkiewicz,67.57
19152,Stanisław Gorzelak,67.57
20067,Ewa Jaworska,67.43
05534,Stanisław Zakrzewski,67.3
01912,Franciszek Zarzecki,67.16
02093,Stanisław Owczarski,67.03
11940,Dariusz Serafin,66.76
07986,Wiesław Pawelec,66.76
21124,Katarzyna Pogłód,66.49
21442,Anna Sladek,66.49
18932,Krzysztof Dzierżak,66.35
15906,Dariusz Głowiński,66.08
14837,Władysław Kucenko,66.08
04719,Artur Toeplitz,65.81
04551,Robert Czarnecki,65.81
06003,Robert Lewandowski,65.68
04305,Marek Klepacki,65.54
10222,Włodzimierz Heymann,65.27
10890,Krzysztof Popczyński,65.27
05108,Andrzej Kędzierski,65.14
11477,Ryszard Kirkowski,64.86
18879,Zbigniew Lange,64.86
12317,Grzegorz Proniewicz,64.73
17686,Wiesław Rakowski,64.59
18625,Krzysztof Boniek,64.32
04818,Krzysztof Materek,64.32
17872,Remigiusz Mincger,64.05
01592,Ryszard Rączkowski,64.05
05587,Tadeusz Ciechanowski,63.78
05586,Bolesław Cichocki,63.78
03104,Kazimierz Cios,63.65
02116,Andrzej Rękosiak,63.38
07906,Andrzej Parmonik,63.38
14165,Sylwester Gołdyn,63.24
07475,Jerzy Stworzewicz,62.97
17383,Łukasz Stworzewicz,62.97
06356,Maciej Wiącek,62.84
09389,Jan Damazyn,62.57
10896,Adam Michalczyk,62.57
05989,Jerzy Kullass,62.43
12416,Emilia Szajowska,62.16
08539,Tomasz Zarębski,62.16
08250,Andrzej Karczewski,61.89
18065,Lech Kobajło,61.89
04133,Henryk Stecewicz,61.76
16778,Jerzy Rybarski,61.62
04430,Jan Rogowski,61.49
03374,Bogusław Mojżesz,61.35
20680,Wojciech Okrzesik,61.08
20806,Mateusz Bakalarski,61.08
18645,Ewa Morawska,60.95
16323,Halina Pientka,60.81
16881,Zbigniew Nowakowski,60.68
04494,Zenon Wawer,60.41
04404,Wiesław Pietrzak,60.41
04780,Grzegorz Gan,60.14
04854,Kazimierz Zelga,60.14
09356,Agnieszka Ziomek,59.86
02040,Skarbimir Kozar,59.86
10794,Aleksander Chrenowski,59.73
13992,Mariusz Bakalarski,59.59
06225,Wojciech Palmowski,59.46
06090,Robert Cylwik,59.32
10456,Waldemar Brzozowski,59.19
08411,Krzysztof Kobyliński,58.92
06659,Maciej Kalita,58.92
09099,Tomasz Lipiński,58.78
04344,Marek Lichocki,58.65
03801,Jerzy Kurzawski,58.38
03647,Cezary Bołądź,58.38
19579,Kazimierz Kłys,58.24
19470,Tamara Cesarz,57.97
18604,Krystyna Goreń,57.97
12376,Dorota Kwintkiewicz,57.84
04745,Kazimierz Wołowiec,57.7
02219,Beata Bojarska,57.57
03933,Eugeniusz Seichter,57.3
17493,Adam Seichter,57.3
15312,Mirosława Stachura,57.16
09122,Tomasz Solarski,57.03
16147,Marek Bednarczyk,56.89
15630,Marian Kanikowski,56.76
21060,Katarzyna Stachowiak,56.62
06021,Witold Mateńko,56.49
03370,Jerzy Miś,56.35
04157,Sławomir Bolesta,56.08
14276,Pavel Klebanovich,56.08
12435,Janusz Kopras,55.95
03904,Grzegorz Prusak,55.68
03753,Marek Kaczan,55.68
13580,Marek Fijałkowski,55.54
19714,Andrzej Skrzydło,55.41
09006,Adam Peszke,55.27
12320,Sophia Bałdysz,55.0
10472,Samuel Bałdysz,55.0
12771,Agata Szatan,54.73
12772,Dariusz Szatan,54.73
08271,Adam Karczmarz,54.59
05982,Waldemar Krych,54.46
04509,Janusz Wróblewski,54.19
07572,Ireneusz Jagielski,54.19
05079,Rafał Junik,53.92
05544,Jolanta Ziętara,53.92
04696,Antoni Sękowski,53.65
04399,Tomasz Patalan,53.65
14282,Mirosław Giełczyński,53.51
18225,Marek Farbiszewski,53.38
04441,Marek Słowikowski,53.24
01037,Stanisław Drobot,52.97
01069,Tomasz Jędrzejek,52.97
14515,Mieczysław Romanowski,52.84
04581,Kazimierz Gralak,52.7
01311,Jerzy Gładysz,52.57
18165,Dariusz Kłodos,52.3
18166,Arkadiusz Wódkowski,52.3
19124,Ireneusz Turyk,52.16
17787,Tymoteusz Zaborowski,51.89
01628,Roman Siwiec,51.89
05023,Paweł Gruszczyński,51.62
05932,Remigiusz Góralczyk,51.62
12006,Danuta Krupnik,51.49
06255,Paweł Wróblewski,51.22
06221,Grzegorz Nowiński,51.22
08951,Janusz Tchórzewski,51.08
05834,Roman Supeł,50.81
12923,Maciej Szalewicz,50.81
01772,Sławomir Zimniak,50.54
01410,Tadeusz Kowalik,50.54
04601,Witold Kaliński,50.41
10344,Krzysztof Gacek,50.27
06334,Dariusz Krajewski,50.14
01671,Zbigniew Szanduła,49.86
21656,Leszek Jarząb,49.86
04265,Stanisław Charun,49.59
04329,Zbigniew Krzepkowski,49.59
08389,Krzysztof Trunowicz,49.46
14508,Zdzisław Stoszek,49.19
05652,Cezary Kanar,49.19
04547,Andrzej Bunikowski,48.92
07794,Marta Janeczek,48.92
12868,Ewa Miakisz,48.78
12783,Robert Mrukowski,48.65
04968,Leszek Ernst,48.51
04755,Danuta Żabicka,48.38
12002,Jerzy Rosenthal,48.24
20198,Krystyna Kozik,48.11
20225,Maciej Cieślukowski,47.84
18502,Małgorzata Węglewska,47.84
06079,Grzegorz Rybacki,47.57
06030,Waldemar Mikucki,47.57
19984,Mirosław Rożek,47.43
15643,Rafał Mikołajczak,47.16
08225,Janusz Reisner,47.16
01288,Janusz Drozdowski,46.89
10479,Krzysztof Obłój,46.89
16707,Piotr Trębski,46.76
19386,Andrzej Ciechacki,46.62
10354,Krzysztof Przybielski,46.49
04672,Andrzej Pella,46.35
04079,Sławomir Juchnicki,46.22
15769,Piotr Birowski,45.95
13118,Andrzej Janiak,45.95
17273,Janusz Sztolc,45.68
17712,Zbigniew Orliński,45.68
16623,Wojciech Ligman,45.41
20978,Cyprian Morawski,45.41
21647,Krzysztof Ruprik,45.27
11810,Stefan Pawlęty,45.0
13358,Łukasz Gackowski,45.0
05241,Tomasz Mielcarek,44.73
19762,Franciszek Szklennik,44.73
06144,Czesław Wojtaś,44.59
01677,Stanisław Szuba,44.32
01683,Marian Szymonowicz,44.32
01916,Dariusz Zbieg,44.05
07152,Jacek Mazurkiewicz,44.05
18387,Michał Maciołek,43.78
18388,Maciej Maciołek,43.78
21565,Zbigniew Łuczak,43.51
21566,Adam Grzona,43.51
01768,Jerzy Zatorski,43.38
01664,Andrzej Suchodolski,43.11
01648,Zbigniew Sosna,43.11
20417,Cezary Miodyński,42.84
18964,Wiesław Gorczewski,42.84
01621,Wojciech Sękowski,42.57
01287,Marek Drecki,42.57
05654,Dariusz Kardas,42.3
15153,Teresa Pudelewicz,42.3
13082,Krzysztof Bak,42.16
14475,Mieczysław Rejniak,42.03
18455,Pietro Vinci,41.89
01224,Marek Bałdysz,41.76
21134,Michał Pawlak,41.62
06338,Aleksander Marciniak,41.35
08297,Leszek Pęcherzewski,41.35
02110,Zbigniew Przybylski,41.08
02436,Krzysztof Tumielewicz,41.08
08841,Mirosław Sankiewicz,40.95
18893,Stanisław Wiktorski,40.81
14252,Stefan Kopyt,40.54
11637,Andrzej Błachno,40.54
21956,Bogdan Trzyciecki,40.27
21955,Sławomir Dąbrowski,40.27
06634,Stefan Jakubowski,40.0
11447,Paweł Lasota,40.0
05304,Waldemar Pałka,39.73
04992,Zbigniew Geisler,39.73
03731,Danuta Iwanus,39.59
19678,Piotr Skowroński,39.46
19606,Ireneusz Górski,39.32
11356,Janusz Linkiewicz,39.05
06105,Lech Sulżycki,39.05
06067,Julian Pisarek,38.78
09394,Marek Siech,38.78
02199,Wiesław Żegilewicz,38.65
18881,Tadeusz Rodak,38.51
05893,Jacek Batóg,38.24
05996,Zbigniew Lasocki,38.24
12884,Anna Tompolska,38.11
15194,Halina Podlecka,37.84
04325,Lucyna Krutelewicz,37.84
09001,Marek Matwijewicz,37.57
07909,Paweł Pietrażycki,37.57
08769,Sławomir Piechocki,37.43
21136,Beata Rożek,37.16
21129,Marta Jakubisiak,37.16
01024,Władysław Chodziński,36.89
01200,Józef Wrona,36.89
18642,Maria Niklaus,36.76
21923,Arkadiusz Mazur,36.49
01869,Henryk Przybylski,36.49
19231,Henryk Adamski,36.35
07271,Adrian Bakalarz,36.08
07290,Jacek Cholewik,36.08
20116,Kazimierz Wierzbowski,35.81
20123,Ewa Ziółkowska,35.81
09778,Szczepan Chruścicki,35.54
17499,Dariusz Wiktorko,35.54
04632,Jacek Lew,35.41
18057,Zenon Gajkowski,35.14
17900,Henryk Nowak,35.14
08341,Jan Chmielewski,34.86
08855,Janusz Wierucki,34.86
20918,Romuald Urbanowicz,34.59
22073,Waldemar Rozmarynowski,34.59
04857,Jan Adamczewski,34.32
05156,Roman Kujawski,34.32
18892,Sławomir Gomulak,34.19
21213,Mieczysław Głowacki,33.92
17771,Jacek Piechowiak,33.92
20976,Jolanta Kędzierska,33.78
02074,Bogusław Mazierski,33.65
13339,Jan Siwczyński,33.38
17228,Mirosław Derwojed,33.38
18557,Ewa Kita,33.24
12434,Wojciech Kaniewski,33.11
08119,Waldemar Warzała,32.84
04682,Jacek Piotrowski,32.84
03461,Jerzy Rebajn,32.7
13906,Anna Andrejczyk,32.43
13905,Grzegorz Andrejczyk,32.43
13084,Łukasz Wieczorek,32.16
09464,Bartosz Gajewski,32.16
07925,Henryk Wichrowski,31.89
02086,Czesław Niewiarowski,31.89
08005,Jan Czarniecki,31.62
08004,Mieczysław Buczek,31.62
05828,Mirosław Staszewski,31.35
05674,Alfred Kram,31.35
07346,Kazimierz Lichawski,31.22
18220,Janusz Zabacki,30.95
17984,Krzysztof Galubiński,30.95
07736,Maciej Szczepański,30.81
08097,Włodzimierz Kocoń,30.68
10314,Bogdan Zieliński,30.41
09259,Kazimierz Ligęza,30.41
05192,Jarosław Lubczyński,30.27
06921,Dariusz Sierocki,30.0
14675,Genowefa Sierocka,30.0
08323,Andrzej Piętak,29.73
05618,Wiesław Gotowicki,29.73
03799,Bogumił Kupczyk,29.46
03800,Elżbieta Kupczyk,29.46
19639,Andrzej Łysakowski,29.32
01938,Henryk Bogucki,29.19
09162,Jacek Trętowski,28.92
11726,Ryszard Kamiński,28.92
01576,Jerzy Poznar,28.65
12691,Stanisław Borowiec,28.65
18435,Edward Poselt,28.51
01364,Grażyna Ćwiek,28.38
10426,Marek Szakun,28.24
18417,Robert Czernecki,28.11
22083,Mirosław Baj,27.97
17509,Urszula Wądołowska,27.7
04559,Kazimierz Dominiak,27.7
13463,Arkadiusz Zadworny,27.43
15156,Hanna Probola,27.43
15195,Wiesław Podlecki,27.16
04198,Adolf Bocheński,27.16
20969,Genowefa Grenik,27.03
07882,Zbigniew Ćwiertniak,26.89
10439,Tadeusz Smurawa,26.62
19405,Roman Kowal,26.62
19388,Andrzej Jarząbkowski,26.35
06923,Jacek Sikora,26.35
01538,Bogdan Pietkiewicz,26.08
01521,Józef Kuczak,26.08
01433,Aleksander Kud,25.81
01097,Dariusz Kulpiński,25.81
17741,Marek Gapiński,25.68
05483,Tomasz Wasilewski,25.54
11521,Kazimierz Komorowicz,25.27
21731,Marek Brosch,25.27
02398,Sławomir Rutecki,25.0
02213,Tadeusz Birecki,25.0
04064,Michał Bobrykow,24.73
04066,Zbigniew Gadek,24.73
07991,Gabriel Szarafin,24.59
11401,Robert Komar,24.32
18409,Dariusz Forycki,24.32
19775,Ewa Nowińska,24.05
19776,Roman Nowiński,24.05
13179,Janusz Kozioł,23.92
16231,Kazimierz Namysł,23.78
01378,Olgierd Jurgielewicz,23.51
01849,Romuald Chodań,23.51
21959,Wiesław Wójcik,23.24
21958,Janusz Piłat,23.24
02445,Zbigniew Wojdak,22.97
12888,Andrzej Drgas,22.97
05049,Jarosław Hilbrecht,22.7
05050,Wiesław Hilbrecht,22.7
04275,Mirosław Grodzki,22.43
04287,Jan Jegliński,22.43
12377,Albina Suder,22.3
07656,Jerzy Stypiński,22.16
04712,Leszek Szkudlarek,22.03
01554,Janusz Pawlicki,21.89
20824,Marek Zgorzałek,21.62
20864,Waldemar Kierski,21.62
17854,Dariusz Krakowiak,21.35
19071,Wojciech Gajzler,21.35
02112,Franciszek Radwan,21.08
02197,Józef Żarski,21.08
06165,Dariusz Biedrzycki,20.81
06194,Radosław Jaszczak,20.81
01493,Bohdan Mazur,20.68
05501,Janina Winnowicz,20.41
05500,Andrzej Winnowicz,20.41
21588,Ewa Sumińska,20.27
02243,Zdzisław Dolata,20.14
06108,Sławomir Szczełkun,20.0
05632,Rafał Imiela,19.73
05870,Piotr Wnuk,19.73
05019,Mirosław Grobelkiewicz,19.59
16370,Jerzy Mierzejewski,19.46
21337,Anna Napierajczyk,19.19
12139,Remigiusz Kaźmierczak,19.19
01380,Zdzisław Klimczak,18.92
21666,Piotr Dimitriu,18.92
04352,Dariusz Łuczak,18.78
15870,Andrzej Kulasa,18.65
18882,Wiesław Jarmułowicz,18.51
02121,Ryszard Sakowicz,18.24
02395,Krzysztof Rogoziński,18.24
13249,Krzysztof Małolepszy,18.11
14407,Tadeusz Lisowski,17.84
01163,Andrzej Skoczylas,17.84
20881,Krzysztof Borowik,17.57
02229,Henryk Choiński,17.57
15398,Lucyna Gozdek,17.43
19663,Ewa Wawrowska,17.16
08970,Bogusław Pawszak,17.16
13767,Robert Zaciura,17.03
12374,Zdzisław Patreuha,16.76
01831,Marian Kupnicki,16.76
19873,Janusz Bakalarz,16.62
02202,Anna Dworakowska,16.35
04480,Waldemar Ślesicki,16.35
16676,Mariusz Wróblewicz,16.08
10225,Marian Zarembski,16.08
19684,Anna Smoluchowska,15.95
06055,Henryk Pakuła,15.81
01937,Ryszard Boberski,15.54
02056,Krystyna Lindner,15.54
16718,Jolanta Materniak,15.41
20214,Marcin Janiuk,15.27
15688,Barbara Soroko,15.14
01556,Jan Pawlikaniec,14.86
12964,Konstanty Pawlikaniec,14.86
04621,Marek Kryniewski,14.59
08128,Zenon Betański,14.59
15117,Tadeusz Osowski,14.46
04720,Paweł Czacharowski,14.32
06218,Andrzej Niewiadomski,14.05
06181,Zbigniew Garlej,14.05
05244,Bogna Latowska,13.78
18667,Roman Wojciechowski,13.78
05712,Jerzy Markowski,13.51
05595,Zenon Darmaszek,13.51
20977,Kazimierz Żmiejko,13.38
05435,Ryszard Szamałek,13.11
05545,Wojciech Zimniak,13.11
06097,Jerzy Stańczyk,12.84
06152,Maciej Zembrzuski,12.84
01270,Grzegorz Czapulak,12.57
19536,Jerzy Chopcian,12.57
13843,Stanisław Gołdyn,12.43
13422,Leszek Zieliński,12.3
10385,Wiesław Adamowicz,12.03
08344,Jerzy Czeszewski,12.03
16888,Ireneusz Liberadzki,11.76
16373,Krzysztof Pietruszka,11.76
19007,Stanisław Zbroja,11.49
19469,Lesław Pyda,11.49
16784,Władysław Łobacz,11.35
19380,Marek Borkowski,11.22
16810,Przemysław Stefanowski,10.95
10386,Jarosław Kuźba,10.95
13920,Wojciech Adamkiewicz,10.68
06175,Kazimierz Dobrzyniecki,10.68
08987,Zdzisław Senderek,10.41
21057,Dariusz Sarzyński,10.41
05422,Piotr Stefański,10.14
08247,Jan Jarmuż,10.14
16448,Robert Góralczyk,10.0
17230,Krzysztof Bonowicz,9.86
18827,Wiesław Lange,9.73
01483,Adam Marcinowski,9.59
06001,Tadeusz Leszczyński,9.32
11235,Sławomir Wojtyłko,9.32
13237,Bogdan Sadowski,9.19
14835,Andrzej Pożerski,8.92
14780,Waldemar Wochna,8.92
10458,Ryszard Maras,8.78
09455,Henryk Komodziński,8.51
18224,Marek Nicewicz,8.51
17389,Zdzisława Krzyżańska,8.38
11424,Henryk Duszyński,8.24
14045,Jerzy Firs,7.97
17221,Halina Perkowska,7.97
16456,Sylwester Sokół,7.84
01482,Stefan Małowiecki,7.57
01247,Zbigniew Bobak,7.57
07756,Piotr Serkowski,7.43
21712,Krzysztof Stec,7.3
05217,Mirosław Markiewicz,7.03
02105,Grzegorz Pogodziński,7.03
20917,Józef Drążek,6.89
16763,Waldemar Czajkowski,6.62
18942,Elżbieta Szałas,6.62
06251,Andrzej Wądołowski,6.49
15074,Danuta Skowronek,6.22
14364,Roman Pawłowski,6.22
20896,Aniela Jarnutowska,6.08
02283,Zbigniew Józefiak,5.81
18993,Franciszek Bułyszko,5.81
16413,Bogusław Świeżawski,5.68
04797,Ryszard Konopka,5.41
04772,Bogusław Dyk,5.41
05170,Włodzimierz Kwiatkowski,5.14
16729,Barbara Podgórska,5.14
21601,Natalia Fręchowicz,4.86
21538,Jan Luber,4.86
20118,Bogdan Wiliński,4.59
06136,Kazimierz Wiliński,4.59
20830,Szymon Grabala,4.32
21048,Adam Nagórny,4.32
10350,Zdzisław Cimaszkiewicz,4.05
01056,Grażyna Blech,4.05
14416,Irena Pruszko,3.78
21730,Rafał Mania,3.78
18265,Ewa Sokolińska,3.65
01324,Stanisław Greszta,3.38
17677,Zdzisław Kuc,3.38
05793,Ireneusz Różycki,3.24
18801,Radosław Rozman,3.11
05582,Włodzimierz Choinkowski,2.84
09542,Waldemar Górski,2.84
19399,Bogumiła Kuryj,2.7
02196,Tadeusz Zwoliński,2.43
15226,Ryszard Szkwarek,2.43
21685,Karol Zieliński,2.3
21471,Matylda Brzyzka,2.03
21472,Małgorzata Skowrońska,2.03
14442,Marek Lenart,1.89
13122,Sławomir Zagórski,1.62
21062,Tomasz Pawlik,1.62
18243,Jan Łodziana,1.35
17594,Anna Pusz,1.35
19740,Leszek Grzelak,1.08
17296,Stanisław Kowalczewski,1.08
07910,Zbigniew Pietrzak,0.81
01936,Władysław Biernat,0.81
19912,Jan Łuczeczko,0.54
19770,Martyna Smoleń,0.54
09710,Mariusz Mączewski,0.41
08212,Zenon Biczkowski,0.14
09253,Andrzej Drzewiecki,0.14
05259,Maciej Młynarczyk,0.0
